text,fraudulent
horizon software international llc industry leading food service management technology company company state art office located duluth georgia approximately 30 miles northeast downtown atlanta horizon jumpstart career growing profitable software development company offering software solutions many clients around world horizon firmly believes great people great service great products great results team member horizon relied continually improve operational areas carry organization strategic initiatives executive management team realizes employees create difference makes horizon great company great place work horizon continues grow attract retain best people possible come explore opportunities abound horizon see company offer flourish exciting atmosphere successful growing business horizon offers comprehensive food service solutions ranging point service back house management including inventory procurement menu planning nutrition analysis warehouse distribution much horizon product offerings provide clients fully customizable scalable software solutions able meet needs budget food service operation horizon software non smoking drug free workplace eoe mfvd project management title solutions delivery manager general description solution delivery manager sdm overall responsibility managing technical resources within project sdm works business owners sales implementations key stakeholders assign appropriate resources project within scope schedule budget ensure project deliverables met specifically sdm works closely business owners gather customer requirements translate clear compelling business cases requirements documents implement deliver solutions sdm also works closely project coordinators provide direct project governance assistance implementation solutions coordination team ensure successful engagement include transition customer support center resulting outstanding customer satisfaction role expected travel engagement sites inspecting assisting projects required addition sdm work program management help define operational processes drive launch adoption training support program development execution track customer feedback order build improvements future solution requirements responsibilities collaborate customers find alternatives solutions business challenges seek systems solutions either internal client external 3rd party solutions leveraged meet business requirements engage business client early effectively building solid relationships pushing value upstream key business direction set identify understand negotiate document business requirements various groups ensure business requirements accurate manage delivery business cases scope requirements documents use case documentation test plans rollout communications develop manage direct relationships key stakeholders technical lead ensure business solutions aligned goals priorities process automation solutions help reach goals balance customer requirements technical constraints e g application size network bandwidth hardware software equipment selections ensure value project realized understand clearly articulate document existing systems amp business architecture define strategy architecture implement methodology adopted project exercise independent judgment developing methods techniques architectures standards obtaining solutions create maintain cohesive coordinated plan deliver solutions meet stakeholders priorities within budgetary product requirements provide depth business amp technical strategy systems solutions identify business gaps correlate potential solutions drive prioritization process decisions made around final project scope facilitate overall planning execute project plans assist others executing project plans across various groups communicate project progress business owners key stakeholders recommend scope schedule resources including budget trade recommendations ensure line business priorities capabilities technology resources aligned demonstrate sound understanding overall business solution positioned deployed supported behaviors motivator works well team strives provide outstanding customer service strong focus execution able successfully translate strategies deliverables detail oriented yet still able see big picture work business drive strategy optimizes investment inspire trust lead example demonstrate support horizon core values daily think critically communicate effectively deliver results pride responsible ensuring delivery commitments ensuring delivered solution fulfills needs business essential skills amp experience solid project program management skills deploying large scale cross enterprise systems implementations within sdlc fast based unstructured environment bebecause end end nature solutions management responsibilities specifically 5 years proven implementation project management experience environment strong consultative negotiation consensus building skills dealing internal customers stakeholders team members including exceptional customer communication skills conflict management skills extensive product program management experience techniques use case analysis data process flow diagramming process mapping requirements documentation highly desirable bachelor degree computer science related field study software development project program management preferred ability understand current changing business processes participation defining application platform functionality proven track record building credible customer relationships immediate team across multiple customer groups demonstrated experience identifying issues developing risk mitigation strategies sound understanding technology concepts must understanding software architectures ms products development tools etc ability deal ambiguity associated working fast paced changing environment exceptional communication problem solving cross group collaboration skills demonstrated expertise using written amp verbal communication skills distill technology projects understandable compelling executive level presentations must proficient ms excel spreadsheet creation manipulation use however position require deep technical knowledge excellent time management skills capable developing processes reporting ad hoc etc tools increase efficiency productivity previous supervisory people management experience required proven track record managing organization change delivering desired results reports implementation solutions senior project manager travel expectations least 15 project manager us ga duluth full time associate bachelor degree information technology services project management,0
delivering superior customer services 10 years ibex global business process outsourcer offering integrated suite services supports expansive array customer facing solutions headquartered washington dc ibex global delivers onshore near shore offshore solutions 5 countries across 18 call centers employing 9000 customer service professionals recipient several client community awards goodwill industries employer year ibex global one forward thinking companies bpo industry ibex global employees receive inbound calls assist client customers operational technical support related fios video data voice communication service position performs accordance quality assurance standards within guidelines set forth company client customer service agent expected meet exceed established goals attend actively participate training training training programs level technical support service campaign requirements could change based needs ibex global client   utilize client base tools provide accurate consistent responses customer inquiries suggestively sell client products services  follow escalate resolution actions related unresolved issues troubleshoot resolve email setup issues utilize chat services using proprietary software detect troubleshoot correct issues  troubleshoot detect correct configuration errors  additional assigned duties tasks may required needed starting pay 10 50  high school diploma ged one 1 year customer call center experience desirable  tech savvy strong understanding communication networking components video data voice services  must able utilize headset sit workstation extended periods working computer terminal assisting customers  ability troubleshoot utilizing various computer programs resolve customer issues must strong interpersonal verbal written communication skills  ability relate professionally levels staff management ability convey genuine empathy handle difficult agitated customers willing work scheduled full time part time shift may include day evening night weekend split shift holiday facilitate sunday saturday 7am 11pm hours operation subject change time please apply online __id= 89d97de18bb28d4b advisor inbound technical us tx new braunfels full time entry level high school equivalent consumer services,0
jaco oil refined resources partnered effort streamline hiring process provide efficient effective recruitng model focus help develop achieve career goals makeing solid geographical cultural professional fiit leveraging career new exciting professional venture please direct communications hr department within refined resources darren lawson vp recruiting phone_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1 qualified candidates encouraged apply directly job posting direct email phone calls considered thank cooperation please recruiters ust testing technician iii bakersfield ca local petroleum company operates primarily retail wholesale motor fuels related petroleum products seeking talented experienced maintenance technicians perform troubleshooting maintenance retail gasoline equipment responsibilities amp position requirements ideal candidate experience working retail gasoline dispensing peripheral equipment ust systems weights measures compliance computer applications certifications gilbarco ruby sapphire veeder job site set loading unloading equipment pressurize system locate potential problems may occur testing prior install bravo retrofit fittings install underground piping fill sumps testing pump sump testing must able obtain manufacturers certifications keep jobsite clean times root tank gauging preferred schedule testing local agencies qualifications certifications gilbarco ruby sapphire veeder competitive compensation package including base full benefits package expense account per diem increase base many perks clean safe professional working environment culture management team great reputation taking good care employees steady consistent employment opportunity company history reputation tenure employees long term layoffs terminatins work slow team always work keep current employees full time status feel confident employment steady something count like travel enjoy indipendence position traveling multiple sites overnight visits throughout week working mostly indipendently position available right away prepared move forward fairly quickly upon identifying right candidate qualified candidates encouraged apply directly job posting direct email phone calls considered thank cooperation please recruiters us ca bakersfield ca full time mid senior level oil energy,1
2020 job title project engineer molding role engineering related relocation available yes industry manufacturing location iowa town city des moines job type permanent full time job description looking engineer molding experience project engineer molding 25 plus year old molding company specializing 2 shot insert micro micro molding serving medical micro electronics micro optics automotive electronics military aerospace markets provide design manufacturability tooling mold building automation packaging looking project engineer 2 3 years molding experience degreed engineer preferred consider equivalent experience bottom line requirements 1 bachelor degree engineering 2 2 years engineering experience molding 3 local close enough short easy move project engineer molding 2020 us ia des moines full time,1
home source startup based southern new jersey design build software large ticket retailers built complete erp package used retailers united states customers ranging size single location 1 million dollars year revenue multiple locations excess 100 million dollars annual revenue home source startup based southern new jersey design build software large ticket retailers built complete erp package used retailers united states customers ranging size single location 1 million dollars year revenue multiple locations excess 100 million dollars annual revenue looking developers interested impact industry changed decades looking create mobile application allow end users unchain desktops perform functions directly customers skills required 1 good working knowledge object oriented programming languages 2 knowledge ios android devices 3 must work well teams 4 java objective c json xml html css php would plus skills required 1 good working knowledge object oriented programming languages 2 objective c 3 json 4 ios 5 mysql 6 java script 7 xcode 8 xml 9 css 10 must work well teams base pay 55 000 00 70 000 00 year ios android developer us nj sewell full time associate information technology services,0
weekly cash jobs hiring part time workers home free time place spend 30 minutes 1 hours day amp get biggest cash work morning afternoon night perfect everyone start immediately earn 400 450 extra per day experience required zero start fee visit rg info work morning afternoon night zero start fee us ca los angeles part time,1
looking contractors individual perform general maintenance repairs residential properties work may include limited following grass cuts general repairs perform per bid approvals trash outs debris removal eviction services initial secures securing replacing locks winterizations boarding mold remediation cash keys janitorial cleaning home interior note must necessary tools perform tasks subject pass background check know perform winterization property plus must digital camera take photographs supporting work done also require use email work time sensitive strong work ethic preferred note please sure include full name city located phone number email order considered position name phone email response response deleted thanks look forward hearing per job lawn maintenance contractors us md hagerstown real estate,1
csd csd great place work also learn grow give back community organization made talented motivated people diverse cultural educational professional backgrounds believe teamwork shared ideas creating solutions together respecting individuality innovation seek people want see ideas put action committed making difference believe possible discover colleagues passion company community customers led team outstanding people believe possible every one us community outreach advocacy specialist provides community based services outreach initiatives south dakota programs position responsible lead organizational efforts statewide domestic violence sexual assault charter partner organizations educate community dv sa prevention provide organizations cultural specific sensitivity training technical assistance regards working victims deaf hard hearing experienced domestic violence sexual assault position also provide direct community support services deaf hard hearing consumers including dv sa services information referral peer support individual advocacy communication assistance community skills integration training services provided videophone aim text person office designated community place consumer place residence depending upon need safety additionally position coordinate project link program provides subsidized financial assistance towards internet fees essential functions works partner organizations support completion statewide dv sa charter including needs assessment strategic planning implementation charter agreements provides direct support services including information referral peer support employment assistance advocacy ie support court related hearings shelter placements qualified interpreting services assistance safety planning legal filing documentation provides technical assistance prevention education cultural specific sensitivity training consumers various community organizations serve consumers deaf hard hearing deaf blind hearing loss records accurate documentation reporting per state requirements including services provided referrals follow needed coordinates statewide project link program document monthly bills received area cable internet service providers consumers whose providers bill csd directly also records accurate documentation customer status billing reporting per state requirements duties assigned bachelor degree related human service field equivalent professional experience two years professional experience working supporting deaf hard hearing deaf blind speech impaired customers ability communicate effectively american sign language csd offers competitive benefits package full time employees full list benefits perks please visit career page communication service deaf inc equal opportunity affirmative action employer drug free tobacco free workplace qualified applicants receive consideration employment without regard race color religion sex national origin including individuals disability protected veterans us sd sioux falls full time entry level bachelor degree program development,0
n office manager pl mz warsaw,1
help teachers get safe amp secure jobs abroad play kids get paid love travel jobs asia 1500 usd monthly 200 cost living housing providedairfare reimbursedexcellent student loans credit cards gabriel adkins university degree required tefl tesol celta teaching experience preferred necessary positive attitude required canada us passport see job description graduates english teacher abroad us az phoenix contract bachelor degree education management,0
accepting online applications click apply full time temporary position lasting 2 years description validate review legal contractual agreements customers input contract contract databases contracts completed amp reviewed within per determined service level agreement professional e mail interaction customers scanning uploading documents qualifications high school diploma equivalent professional communication skills via e mail interaction dedicated needs business project management skills assist facilitating multiple contract rejects detail oriented able multi task ability work time sensitive documents must able work independently able perform team environment needed fast accurate typist accepting online applications click apply data entry admin clerical positions work home us ne omaha,1
apply using link bristol hospital bristol ct exciting opportunity operations manager perioperative center servicing ambulatory surgery endoscopy ideal candidate oversee safe care patients process admissions endoscopy procedures phase 2 recovery also collaborate perioperative services leadership daily workflow issues implement solutions develop maintain educational calendar strategies facilitate staff education competency select develop oversee evaluate direct reports develop oversee financial manaagement department including operating budget supplies equipment space staff information develop utilize key performance indicators trending identifying areas improvement operations manager also responsible compliance government agency regulations knowledgeable comply applicable infection control health safety policies procedures implemented department ambulatory surgery endoscopy rn operations manager us ct full time hospital health care,1
primary function presales security engineer fully support security products solutions distributed alfavad sa greece adjacent territories training provided company candidate present partners end user companies solutions b support p c customer site c cooperate sales people contribute whole sales cycle undertake design implementation maintenance solution provided customers deep expertise experience 4 8 following network security verticals basic knowledge verticals 1 networking hardware routers switches load balancers etc 2 next generation firewalls modern security gateways 3 wired wireless network security devices 4 ssl vpns 5 ips technology 6 dlp websense portauthority 7 network security assessment 8 network access control deep expertise experience 3 6 following endpoint protection verticals significant knowledge verticals 1 forensics systems techniques using tools encase ftk nix command line 2 enterprise endpoint security policy management mcafee symantec sophos kaspersky trendmicro 3 anti malware deployment control along malware outbreak response mitigation utilizing tools enterprise anti malware firms 4 anti spyware deployment control utilizing tools enterprise anti spyware firms 5 host based ips deployment control policy development maintenance utilizing tools enterprise hips firms 6 host based dlp deployment control policy development maintenance utilizing tools enterprise dlp firms deep expertise experience 4 8 following advanced enterprise security systems significant knowledge verticals 1 siem arcsight rsa envision loglogic ibm tivoli cim som symantec sim along extensive syslog experience related log file parsing skills 2 enterprise identity management 3 mobile data security 4 enterprise single sign 5 enterprise managed file transfer 6 enterprise secure email delivery 7 personal non corporate smartphone security systems 8 multifactor authentication systems rsa securid adaptive auth arcot phonefactor smart card auth etc security presales engineer gr athens full time mid senior level master degree information technology services,0
listing info organize expro international shipping vessel operations export facilities us gulf make effective decisions operating vessels port coordinate daily activities nova boarding agents ensure vessels operated effective timely cost efficient manner responsibilities organize vessel operations vessel owner operator terminals provide proactive timely communication vessel owners operators terminals caterers ships crew government entities make effective decisions best manage vessels port reduce risk cost time port ensure federal state local government regulations requirements met coordinate vessel attendance nova boarding agents ensure efficient vessel operations ensure arrangements vessel operations organized proactively timely including pilots tugs launches hold cleaning services cash master ensure vessel documentation meets government requirements cargill accounting standards maintain strong working relationships provide best class service cargill ot vessel operators desk heads outside vessel owners operators maintain relationships terminal personnel trade execution staff ensure open line communication develop maintain vendor relationships obtain vessel services preferential pricing service levels generate port cost estimates ensure adequate funding cover vessel expenses port assist cargill accounting personnel collection funds provide accurate services vessels owners operators needed board vessels attend vessel inspections usda ncb uscg attend berthings sailings export terminals learn basics g amp amp 8217 stevedoring operation including stowplans loading rotation spout operation documentation provide support necessary requiredfour year college degree minimum 5 years experience maritime industryminimum 5 years experience maritime industrytechnical skillsdemonstrated proficiency ms office applications word excel outlook must willing relocate work another location extended time must willing able work varied hours weekends holidays must willing able climb ladders vessel gangways must able operate motor vehicle maintain operational drivers license preferredbachelors degree maritime academyexperience working varied hours weekends holidays experience working maritime environment technical skillsdemonstrated communication skills written verbal ability work team environment demonstrated problem solving decision making skills demonstrated ability manage time multiple priorities appropriately vessel coordinator us tx houston full time oil energy,1
